name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
St Ann's Library,,,,Haringey,,100023153820,E09000014,St Ann's,E05013597,51.58041502,-0.081376662,533035.5839,188582.7631000001
Kingsbury,,,,Brent,,202078174,E09000005,Queensbury,E05013508,51.58552355,-0.274858006,519616.9955000002,188816.82939999923
Garden Suburb Community Library ,,,,Barnet,,200207760,E09000003,Garden Suburb,E05013641,51.58580095,-0.181741357,526067.0323000001,189003.94079999998
Gidea Park Library,,,,Havering,,100023216148,E09000016,Squirrels Heath,E05013985,51.57949079,0.20753372,553055.0109999999,189044.8509999998
Romford Central Library,,,,Havering,,100023211636,E09000016,St Edward's,E05013983,51.58027,0.185138066,551500.7624000004,189084.85119999945
Walthamstow Library,,,,Waltham Forest,,100022983155,E09000031,High Street,E05013891,51.5839726,-0.019438984,537316.0010000002,189092.82760000043
Hendon,,,,Barnet,,200222812,E09000003,Hendon,E05013643,51.58809113,-0.227360361,522900.4698000001,189180.9416000005
Pinner,,,,Harrow,,100023037203,E09000015,Pinner South,E05013556,51.59090052,-0.378912076,512395.2352999998,189249.82310000062
Marcus Garvey Library,,,,Haringey,,100023153172,E09000014,Tottenham Central,E05013601,51.58767917,-0.072436947,533633.6793999998,189406.87170000002
Kenton,,,,Harrow,,200000313248,E09000015,Kenton East,E05013551,51.59214569,-0.309678337,517187.7604,189496.95009999909
Marks Gate,,,,Barking and Dagenham,,10002167212,E09000002,Chadwell Heath,E05014058,51.58490561,0.137516448,548186.4005000005,189502.87219999917
Muswell Hill Library,,,,Haringey,,100023143844,E09000014,Muswell Hill,E05013594,51.59062359,-0.141789878,528821.0447000004,189609.82890000008
Wealdstone,,,,Harrow,,200004437046,E09000015,Wealdstone South,E05013562,51.59364474,-0.333374798,515542.5837000003,189625.95309999958
Clayhall Library,,,,Redbridge,,100023051395,E09000026,Clayhall,E05011239,51.58979452,0.051056985,542181.6595999999,189874.96719999984
East Finchley,,,,Barnet,,200061457,E09000003,East Finchley,E05013636,51.59342094,-0.165973843,527138.0717000002,189878.61339999922
Wood Street Library,,,,Waltham Forest,,200001418727,E09000031,Wood Street,E05013903,51.59105708,-0.002843915,538444.1695999997,189911.9583999999
Wood Green Central Library and Customer Services,,,,Haringey,,100023178365,E09000014,Noel Park,E05013595,51.59502191,-0.108052332,531145.3619999997,190158.9014999997
Fullwell Cross Library,,,,Redbridge,,10013585783,E09000026,Fairlop,E05011242,51.59269709,0.08689642,544654.9606999997,190267.99479999952
Higham Hill Library,,,,Waltham Forest,,100022981657,E09000031,William Morris,E05013902,51.59527813,-0.025878336,536836.0096000005,190338.01259999909
Northwood Hills Library,,,,Hillingdon,,100023037608,E09000017,Northwood Hills,E05013575,51.60229864,-0.406724744,510441.03949999996,190474.96729999967
Alexandra Park Library,,,,Haringey,,100023179968,E09000014,Alexandra Park,E05013585,51.59833448,-0.135207795,529255.1144000003,190478.92610000074
Church End ,,,,Barnet,,200218220,E09000003,Finchley Church End,E05013639,51.59932321,-0.195695662,525063.1742000002,190483.7003000006
Harefield Library,,,,Hillingdon,,100023564754,E09000017,Harefield Village,E05013568,51.60389981,-0.481377327,505267.4121000003,190543.0418999996
South Woodford Library and Gym,,,,Redbridge,,10034922615,E09000026,Churchfields,E05011238,51.59663025,0.023571198,540256.7388000004,190582.0691999998
Colindale,,,,Barnet,,200222825,E09000003,Colindale North,E05013632,51.60129207,-0.243478885,521748.6624999996,190622.03690000065
South Friern ,,,,Barnet,,200147125,E09000003,Friern Barnet,E05013640,51.59993455,-0.146935286,528438.3924000002,190636.2092000004
Harold Wood Library,,,,Havering,,100023216526,E09000016,Harold Wood,E05013973,51.59401788,0.237108698,555054.6562999999,190722.55220000073
Burnt Oak ,,,,Barnet,,200155264,E09000003,Burnt Oak,E05013630,51.60276504,-0.261638438,520487.20660000015,190755.83440000005
Collier Row Library,,,,Havering,,100023217675,E09000016,Mawneys,E05013978,51.59796672,0.162482974,549872.9445000002,191006.04509999976
Coombes Croft Library,,,,Haringey,,100023165934,E09000014,Northumberland Park,E05013596,51.60315254,-0.066697867,533985.7399000004,191138.0895000007
Northwood Library,,,,Hillingdon,,100023564110,E09000017,Northwood,E05013574,51.61183903,-0.423276417,509271.9024,191511.06770000048
Woodford Green Library,,,,Redbridge,,200001843478,E09000026,Monkhams,E05011249,51.6070902,0.033954993,540943.5236999998,191765.18950000033
Hale End Library,,,,Waltham Forest,,100023583807,E09000031,Hatch Lane & Highams Park North,E05013890,51.60870578,0.002769562,538779.2702000001,191885.22839999944
Hainault Library,,,,Redbridge,,10034923013,E09000026,Hainault,E05011245,51.60753869,0.105766669,545914.4074999997,191955.84190000035
Friern Barnet Community Library ,,,,Barnet,,200044867,E09000003,Friern Barnet,E05013640,51.61303719,-0.151842928,528061.6743999999,192084.68649999984
Fore Street,,,,Enfield,,207015248,E09000010,Upper Edmonton,E05013694,51.61166506,-0.063707118,534167.7696000002,192090.20229999907
Mill Hill ,,,,Barnet,,200057669,E09000003,Mill Hill,E05013645,51.61488958,-0.241490103,521850.0482000001,192137.49230000004
Harold Hill Library,,,,Havering,,100023217029,E09000016,Heaton,E05013975,51.60723241,0.220053539,553828.756,192155.93239999935
Edgware ,,,,Barnet,,200220766,E09000003,Edgware,E05013637,51.61577734,-0.272427097,519705.9611999998,192185.21880000085
Angel Raynham,,,,Enfield,,207017246,E09000010,Upper Edmonton,E05013694,51.61259183,-0.059377369,534464.8081999999,192201.21979999915
Bowes Road,,,,Enfield,,207045509,E09000010,New Southgate,E05013686,51.61492809,-0.129038125,529635.1849999996,192335.1414999999
Stanmore,,,,Harrow,,100023038856,E09000015,Stanmore,E05013560,51.61793485,-0.310063717,517094.7209000001,192364.17950000055
Palmers Green,,,,Enfield,,207015887,E09000010,Palmers Green,E05013688,51.61508369,-0.109010668,531021.2889999999,192388.14650000073
Millfield House,,,,Enfield,,207180891,E09000010,Haselbury,E05013682,51.61589454,-0.079736045,533045.6374000004,192531.21910000034
North Finchley ,,,,Barnet,,200097082,E09000003,Woodhouse,E05013651,51.61807536,-0.174310929,526492.1183000002,192605.8501999993
South Chingford Community Library,,,,Waltham Forest,,100023000149,E09000031,Larkswood,E05013894,51.61609652,-0.016176907,537445.0889999997,192671.31409999914
Edmonton Green,,,,Enfield,,207189578,E09000010,Lower Edmonton,E05013685,51.62339871,-0.056459901,534634.8344999999,193408.34080000035
Winchmore Hill,,,,Enfield,,207036897,E09000010,Highfield,E05013683,51.62790941,-0.096829091,531827.4518999998,193836.3376000002
Osidge,,,,Barnet,,200140830,E09000003,Brunswick Park,E05013629,51.62982049,-0.147457177,528317.9741000002,193958.7725000009
Southgate Circus,,,,Enfield,,207180633,E09000010,Southgate,E05013692,51.62989232,-0.126731632,529752.1550000003,194003.33819999918
